RequestedMode,EffectiveMode,Scenario,CpuFrameTimeMs,CpuTimingSource,GpuFrameTimeMs,GpuTimingAvailable,GpuTimingSource,PostProcessingCpuMarkerMs,MotionVectorsCpuMarkerMs,OutputResolution,InternalResolution,DynamicResolutionScale,Upscaler,MotionVectorsActive,ManagedCameraCount,FallbackReason
"Taa","Taa","13_HardCameraCut",1.7330,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0884,0.0371,"1280x720","1280x720",1.0000,"None",True,2,""
"Taa","Taa","14_MultipleActiveCameras",3.4138,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.1796,0.0655,"1280x720","1280x720",1.0000,"None",True,2,""
"TemporalUpscaler","TemporalUpscaler","01_StaticOutdoor",2.3512,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.1785,0.0519,"1280x720","742x418",0.5797,"Dlss",True,2,""
"TemporalUpscaler","TemporalUpscaler","02_SlowWalk",1.9079,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.1469,0.0543,"1280x720","742x418",0.5797,"Dlss",True,2,""
"TemporalUpscaler","TemporalUpscaler","03_FastCameraTurn",2.2066,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.1744,0.0358,"1280x720","742x418",0.5797,"Dlss",True,2,""
"TemporalUpscaler","TemporalUpscaler","04_FastVehicle",2.4805,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.1927,0.0519,"1280x720","742x418",0.5797,"Dlss",True,2,""
"TemporalUpscaler","TemporalUpscaler","05_ForestGrassFoliage",2.3935,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.1823,0.0542,"1280x720","742x418",0.5797,"Dlss",True,2,""
"TemporalUpscaler","TemporalUpscaler","06_ThinGeometryAgainstSky",1.9393,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.1512,0.0516,"1280x720","742x418",0.5797,"Dlss",True,2,""
"TemporalUpscaler","TemporalUpscaler","07_NightHeadlightsEmissive",2.0036,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.1499,0.0525,"1280x720","742x418",0.5797,"Dlss",True,2,""
"TemporalUpscaler","TemporalUpscaler","08_InteriorContrastDetails",2.1087,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.1576,0.0473,"1280x720","742x418",0.5797,"Dlss",True,2,""
