assetPath,guid,category,domains,excludedByConfig,dirtyWorkingTree,reasons
Assets/Chernobyl/Textures/Vegetation/Maple/Maple_01_Bark_N.tga,3282987b8a9cb1d47890e05d57f196f9,Normal Map,Vegetation;World,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Maple/Maple_01_Bark_O.tga,5e838a6193c5b5e46aa01a05e1ff6c36,Unknown / Manual Review,Vegetation;World,True,True,No authoritative Unity/material classification was found. | Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Maple/Maple_Leaves_A.tga,edfd48c766a8d4949b93eb80cb012e50,Alpha Mask / Cutout,Vegetation;World,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Maple/Maple_Leaves_Mask.tga,1f46969a7ac7b9845aa3054c2f904615,HDRP Mask Map,Vegetation;World,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Maple/Maple_Leaves_N.tga,da843f59b5bf81b40b4c0fdfbe02ee47,Normal Map,Vegetation;World,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Noise.tga,26e819997ca443c449ab615eff7fae83,Base Color / Albedo,Vegetation;World,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Pine/Billboard_Pine_01.tga,8bc0e969f1b6da14d998358d9ce7450c,Base Color / Albedo,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Pine/Billboard_Pine_02.tga,6efdb8acd7378b744aab8dcccf2dc16a,Base Color / Albedo,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Pine/Billboard_Pine_04.tga,f4c36d6bbbad9474a9ee36f4ab398d54,Base Color / Albedo,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Pine/Pine_Bark_A.tga,4d7c176d2c981e14c8224938f4a84dae,Base Color / Albedo,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Pine/Pine_Bark_MaskMap.png,32fb9ab563b69d64c99fa667dca846a8,HDRP Mask Map,Vegetation;World,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Pine/Pine_Bark_MS.tga,60cf22c19068fab48a36bcced80bc0da,Alpha Mask / Cutout,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Pine/Pine_Bark_N.tga,405081229bf78b049a1ee40616c60f79,Normal Map,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Pine/Pine_Needles_A.tga,104b7e98bf9979241b9778a778f76a0c,Normal Map,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Pine/Pine_Needles_Mask.tga,c6edf3fd6289a56499ea239ab305bedb,Normal Map,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Chernobyl/Textures/Vegetation/Pine/Pine_Needles_N.tga,bcb75680fdd4aab42a3123918599d83f,Normal Map,Vegetation,True,True,Asset or .meta has a concurrent working-tree change.
Assets/Enviro 3 - Sky and Weather/Resources/tex_enviro_black.png,a4b6e5316451f9e4496d1a0c8beeaab3,Unknown / Manual Review,Unassigned,True,False,No authoritative Unity/material classification was found.
Assets/Enviro 3 - Sky and Weather/Sample/Textures/Grass004_1K_Color.png,d1ae99edeffaada488eedf02d0ae25e9,Alpha Mask / Cutout,Vegetation,True,False,
Assets/Enviro 3 - Sky and Weather/Sample/Textures/Grass004_1K_NormalDX.png,18529a7524461e9499ebd82179cd5b8a,Normal Map,Vegetation,True,False,
Assets/Enviro 3 - Sky and Weather/Sample/Textures/Ground037_1K_Color.png,57231b317cd776244a8b5cb1fec34960,Unknown / Manual Review,World,True,False,No authoritative Unity/material classification was found.
Assets/Enviro 3 - Sky and Weather/Sample/Textures/Ground037_1K_NormalDX.png,64904559bfffc344ebca5a88462ab88c,Normal Map,World,True,False,
Assets/Enviro 3 - Sky and Weather/Sample/Textures/Rock008_1K_Color.png,afec784ce237d7247b68a05c1263c373,Unknown / Manual Review,Unassigned,True,False,No authoritative Unity/material classification was found.
Assets/Enviro 3 - Sky and Weather/Sample/Textures/Rock008_1K_NormalDX.png,fb9a44889cdaf0a4d86ef487228c0dff,Normal Map,Unassigned,True,False,
Assets/Enviro 3 - Sky and Weather/Sample/Textures/Rock012_1K_Color.png,05b319e3f13e9fd48a23a5dfc5f34247,Unknown / Manual Review,Unassigned,True,False,No authoritative Unity/material classification was found.
